Rank,Nombre,Símbolo,Cap. de Mercado,Precio
18.0,DVCDevcoin,DVC,"3,988,307.41",0.0006463
19.0,YBCYbCoin,YBC,"3,903,549.55",4.06
20.0,MOONMooncoin,MOON,"3,496,138.80",0.0001375
1.0,BTCBitcoin,BTC,"10,190,038,593.97",825.37
2.0,LTCLitecoin,LTC,"568,440,705.88",22.40
3.0,XRPXRP,XRP,"168,555,395.10",0.02156
4.0,PPCPeercoin,PPC,"121,775,514.33",5.77
5.0,NXTNxt,NXT,"66,887,849.48",0.06689
6.0,OMNIOmni,OMNI,"53,732,367.19",86.74
7.0,DOGEDogecoin,DOGE,"53,548,741.65",0.001279
8.0,NMCNamecoin,NMC,"43,247,803.90",5.46
9.0,QRKQuark,QRK,"24,838,589.61",0.1004
10.0,PTSBitShares PTS,PTS,"20,423,494.21",14.44
11.0,MECMegacoin,MEC,"14,452,781.99",0.6569
12.0,WDCWorldCoin,WDC,"14,181,219.26",0.3301
13.0,XPMPrimecoin,XPM,"12,906,285.55",3.02
14.0,IFCInfinitecoin,IFC,"9,670,060.72",0.0001074
15.0,FTCFeathercoin,FTC,"9,240,475.67",0.2889
16.0,NVCNovacoin,NVC,"7,464,186.88",12.83
17.0,TIXTickets,TIX,"3,817,575.73",0.00005708
18.0,DGCDigitalcoin,DGC,"3,410,900.13",0.2641
19.0,DVCDevcoin,DVC,"3,336,391.61",0.0005365
20.0,ZETZetacoin,ZET,"3,270,389.78",0.02044
1.0,BTCBitcoin,BTC,"8,451,229,252.14",682.90
2.0,LTCLitecoin,LTC,"465,932,119.29",18.22
3.0,XRPXRP,XRP,"135,951,310.04",0.01739
4.0,PPCPeercoin,PPC,"98,911,679.93",4.68
5.0,DOGEDogecoin,DOGE,"60,542,522.21",0.001291
6.0,NXTNxt,NXT,"48,927,824.73",0.04893
7.0,OMNIOmni,OMNI,"38,623,691.43",62.35
8.0,NMCNamecoin,NMC,"34,226,581.98",4.28
9.0,QRKQuark,QRK,"19,774,657.92",0.07989
10.0,PTSBitShares PTS,PTS,"16,778,316.76",11.60
11.0,MECMegacoin,MEC,"11,582,568.72",0.524
12.0,XPMPrimecoin,XPM,"10,231,020.23",2.34
13.0,IFCInfinitecoin,IFC,"9,025,788.60",0.0001002
14.0,WDCWorldCoin,WDC,"7,197,880.13",0.1636
15.0,VTCVertcoin,VTC,"6,987,056.83",4.30
16.0,NVCNovacoin,NVC,"6,916,244.15",9.89
17.0,FTCFeathercoin,FTC,"6,701,452.30",0.2045
18.0,YBCYbCoin,YBC,"3,501,581.55",3.41
19.0,TIXTickets,TIX,"3,038,605.64",0.00004544
20.0,DVCDevcoin,DVC,"2,604,690.08",0.0004158
1.0,BTCBitcoin,BTC,"7,650,358,897.33",616.63
2.0,LTCLitecoin,LTC,"391,928,398.15",15.20
3.0,XRPXRP,XRP,"119,913,224.77",0.01534
4.0,PPCPeercoin,PPC,"83,374,178.08",3.94
5.0,DOGEDogecoin,DOGE,"71,890,531.77",0.001413
6.0,NXTNxt,NXT,"57,427,541.97",0.05743
7.0,OMNIOmni,OMNI,"41,102,057.15",66.35
8.0,NMCNamecoin,NMC,"29,679,608.54",3.69
9.0,XCPCounterparty,XCP,"24,517,503.27",9.26
10.0,QRKQuark,QRK,"16,952,553.27",0.06848
11.0,PTSBitShares PTS,PTS,"14,908,904.17",10.04
12.0,IFCInfinitecoin,IFC,"9,033,253.63",0.0001002
13.0,XPMPrimecoin,XPM,"8,737,520.34",1.96
14.0,MECMegacoin,MEC,"8,648,518.49",0.3896
15.0,FTCFeathercoin,FTC,"8,293,340.81",0.2474
16.0,WDCWorldCoin,WDC,"7,029,160.27",0.1563
17.0,NVCNovacoin,NVC,"6,109,919.88",8.65
18.0,MAXMaxcoin,MAX,"5,679,920.09",2.02
19.0,DVCDevcoin,DVC,"3,817,473.25",0.0006048
20.0,VTCVertcoin,VTC,"3,487,662.47",1.91
1.0,BTCBitcoin,BTC,"7,534,325,957.59",605.82
2.0,LTCLitecoin,LTC,"402,561,282.54",15.49
3.0,XRPXRP,XRP,"120,487,417.20",0.01541
4.0,PPCPeercoin,PPC,"82,799,990.18",3.91
5.0,DOGEDogecoin,DOGE,"63,277,850.99",0.001185
6.0,NXTNxt,NXT,"50,916,287.61",0.05092
7.0,OMNIOmni,OMNI,"38,227,258.97",61.71
8.0,NMCNamecoin,NMC,"29,182,744.39",3.60
9.0,PTSBitShares PTS,PTS,"24,512,737.27",15.94
10.0,QRKQuark,QRK,"15,333,900.74",0.06193
11.0,XCPCounterparty,XCP,"14,682,641.35",5.54
12.0,MECMegacoin,MEC,"9,263,661.18",0.4154
13.0,FTCFeathercoin,FTC,"9,195,530.48",0.268
14.0,XPMPrimecoin,XPM,"8,501,749.95",1.87
15.0,IFCInfinitecoin,IFC,"7,984,790.78",0.00008848
16.0,WDCWorldCoin,WDC,"6,161,482.15",0.1341
17.0,NVCNovacoin,NVC,"6,007,961.52",8.42
18.0,MAXMaxcoin,MAX,"4,112,676.42",0.868
19.0,DASHDash,DASH,"3,965,887.32",1.15
20.0,VTCVertcoin,VTC,"3,690,575.64",1.82
1.0,BTCBitcoin,BTC,"6,978,523,797.83",559.79
2.0,LTCLitecoin,LTC,"333,811,790.16",12.74
3.0,AURAuroracoin,AUR,"258,801,442.74",24.42
4.0,XRPXRP,XRP,"105,879,985.72",0.01354
5.0,PPCPeercoin,PPC,"63,829,755.97",3.01
6.0,DOGEDogecoin,DOGE,"53,288,533.34",0.0009532
7.0,NXTNxt,NXT,"44,079,428.63",0.04408
8.0,OMNIOmni,OMNI,"32,479,881.59",52.43
9.0,NMCNamecoin,NMC,"26,843,614.44",3.29
10.0,XCPCounterparty,XCP,"12,469,808.78",4.71
11.0,QRKQuark,QRK,"9,677,965.99",0.03908
12.0,PTSBitShares PTS,PTS,"9,410,602.89",6.05
